year,country_of_production,port_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob
"2015","ARGENTINA","BAHIA BLANCA","OLEAGINOSA MORENO HERMANOS SACIFIA","GLENCORE","SOUTH KOREA","SOUTH KOREA","38350","6183350.0600000005"
"2015","ARGENTINA","SAN LORENZO","OLEAGINOSA MORENO HERMANOS SACIFIA","GLENCORE","SOUTH KOREA","SOUTH KOREA","38000","6347517"
"2015","ARGENTINA","SAN LORENZO","COMMODITIES S A","COMMODITIES S A","MALAYSIA","MALAYSIA","38000","6534480"
"2015","ARGENTINA","ROSARIO","UNKNOWN","UNKNOWN","SOUTH KOREA","SOUTH KOREA","37500","6326884.99"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","JORDAN","JORDAN","37000.595","6344098.5"
"2015","ARGENTINA","BAHIA BLANCA","CARGILL SACI.","CARGILL","EGYPT","EGYPT","36475","6390500.75"
"2015","ARGENTINA","VILLA CONSTITUCION","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","UNITED KINGDOM","EUROPEAN UNION","36372.263999999996","6291833.8"
"2015","ARGENTINA","SAN LORENZO","MULTICEREALES S A","MULTICEREALES S A","MOROCCO","MOROCCO","36100","7075600"
"2015","ARGENTINA","ROSARIO","COMPANIA ARGENTINA DE GRANOS S.A.","COMPANIA ARGENTINA DE GRANOS S.A.","ALGERIA","ALGERIA","36000","6432500"
"2015","ARGENTINA","SAN LORENZO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","JAPAN","JAPAN","35965","6108370.029999999"
"2015","ARGENTINA","SAN LORENZO","SACEIF LOUIS DREYFUS Y CIA LTDA","LOUIS DREYFUS","MOROCCO","MOROCCO","35866","6455880"
"2015","ARGENTINA","SAN LORENZO","MOLINOS RIO DE LA PLATA SA.","PEREZ COMPANC FAMILY GROUP","VIETNAM","VIETNAM","35778","6035482"
"2015","ARGENTINA","SAN LORENZO","ALFRED C TOEPFER INTERNATIONAL ARGENTINA S R L","ADM","SOUTH AFRICA","SOUTH AFRICA","35769.05","5912293.25"
"2015","ARGENTINA","SAN LORENZO","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","AGRICULTORES FEDERADOS ARGENTINOS S. C. L.","VENEZUELA","VENEZUELA","35500","5348330"
"2015","ARGENTINA","SAN LORENZO","NIDERA ARGENTINA","COFCO","SAUDI ARABIA","SAUDI ARABIA","35460","6734002"
"2015","ARGENTINA","SAN LORENZO","OLEAGINOSA MORENO HERMANOS SACIFIA","GLENCORE","MOROCCO","MOROCCO","35388","6193192"
"2015","ARGENTINA","ROSARIO","CARGILL SACI.","CARGILL","PERU","PERU","35183.364","5910804.510000001"
"2015","ARGENTINA","SAN LORENZO","VISER S A","VISER S A","SENEGAL","SENEGAL","34900","6026500"
"2015","ARGENTINA","SAN LORENZO","YPF","YPF","MALAYSIA","MALAYSIA","34758","5922412.0600000005"
"2015","ARGENTINA","ROSARIO","MULTICEREALES S A","MULTICEREALES S A","ALGERIA","ALGERIA","34250","7379000"
"2015","ARGENTINA","ROSARIO","QUEBRACHITO GRANOS S A","QUEBRACHITO GRANOS S A","ALGERIA","ALGERIA","34125","5255250"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","SOUTH AFRICA","SOUTH AFRICA","34000","6800000"
"2015","ARGENTINA","SAN LORENZO","MOLINO CANUELAS SACIFIA","MOLINO CANUELAS SACIFIA","MOROCCO","MOROCCO","34000","5959180"
"2015","ARGENTINA","SAN LORENZO","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","ASOCIACION DE COOPERATIVAS ARGENTINAS (COOP.LTDA)","YEMEN","YEMEN","33500","6113750"
"2015","ARGENTINA","SAN LORENZO","EXPORT GRAINS SA","EXPORT GRAINS SA","INDONESIA","INDONESIA","33500","5929500"
"2015","ARGENTINA","SAN LORENZO","ACEITERA CHABAS SA.","ACEITERA CHABAS SA.","VENEZUELA","VENEZUELA","33477.49","6143245.62"
"2015","ARGENTINA","SAN LORENZO","BUNGE ARGENTINA SA","BUNGE","PERU","PERU","33060","5190420"
"2015","ARGENTINA","ROSARIO","ADM ARGENTINA S A","ADM","MOROCCO","MOROCCO","33000","6600000"
"2015","ARGENTINA","NECOCHEA","OLEAGINOSA MORENO HERMANOS SACIFIA","GLENCORE","CHILE","CHILE","33000","6033150"
"2015","ARGENTINA","SAN LORENZO","PILAGA SOCIEDAD ANONIMA GANADERA","PILAGA SOCIEDAD ANONIMA GANADERA","YEMEN","YEMEN","33000","5536680.6"
